username|date|retweets|favorites|text|geo|mentions|hashtags|id|permalink
|2007-12-07|0|0|@susanreynolds i had an intelivision :) my grandpa was a matel engineer (one of the inventors of the "cow goes moo" toys). and your news=:(||@susanreynolds||479597902|https://twitter.com/Percival/status/479597902
|2007-11-07|0|0|Belmont Club " I would not want that sort out here with me anyway": John Matel , a car.. http://tinyurl.com/ypusqb||||396711132|https://twitter.com/wretchardthecat/status/396711132
|2007-11-04|0|0|@ipab : ya sabesh... o era otra de matel ... jeje||@ipab||388392222|https://twitter.com/palulo/status/388392222
|2007-11-01|0|0|Parece que hemos perdido al Chiqui en manos de Matel||||381204262|https://twitter.com/palulo/status/381204262
|2007-10-18|0|0|Julieta Venegas con 3 nominaciones se puso un matel de vestido no habrá premio fasionista para ella||||346644422|https://twitter.com/ThinkLive/status/346644422
|2007-09-28|0|0|Thinking that I still like my bigger body Teresa and might keep her for the wedding. Damn Matel for making the Barbies shorter!!||||298625822|https://twitter.com/SSPoseidon/status/298625822
|2007-08-14|0|1|I'm shocked by Matel 's outsourcing of labor to China http://tinyurl.com/24hs2y||||206569412|https://twitter.com/younique/status/206569412
|2007-08-11|0|0|Anna-Maria Matel -Giannattasio added you as a friend on Facebook; moet even goed denken waar ik haar van moet kennen! ;-)||||199800442|https://twitter.com/marcoderksen/status/199800442
|2007-08-10|0|0|Rex Navarette cracks me every freakin' time. Also, LOL @Matel .||@Matel||197890632|https://twitter.com/baddie/status/197890632
|2007-08-03|0|0|Marina Abuiso se hace cargo de su excelencia y encuentra el listado de juguetes tóxicos. "¡Son de Matel , me encanta!", dice. Humorrrrbo.||||184950992|https://twitter.com/danixa/status/184950992
|2007-07-31|0|0|Don't worry, Matel . Soon, people will realize the sheer awesomeness of Facebook and we won't be lonely anymore. Yay!||||178212152|https://twitter.com/baddie/status/178212152
|2007-07-26|0|0|mastoftheuniverse.com redirects to matel , the toy maker...weird right?||||170725352|https://twitter.com/ethanbodnar/status/170725352
|2007-07-25|0|0|Matel , love your drawing of a sweet Hulk. Ahlaveht!||||167405022|https://twitter.com/baddie/status/167405022
|2007-06-11|0|0|soy la nueva muñeca de matel :)||||100639012|https://twitter.com/itzahm/status/100639012
|2007-06-07|0|0|Matel could make Bernie and Kim dolls. Oh boy, here we go!||||94880712|https://twitter.com/awhite60/status/94880712
