Who,date,Short,
Note7,20161224,Wifi Jocker,
Note7,20161215,Verzion Kills the product,
Note7,20161010,Permanent Stop,
Note7,20161006,Smoke from Device on Board!!!,
Note7,20161001,Resume Sales,
Note7,20160929,1 million replacements,
Note7,20160919,Exchage Program Korea,
Note7,20160915,USCPSC,
Note7,20160908,FAA,
Note7,20160902,Recall,
Note7,20160824,1st Explotion,
Note7,20160819,Start Sales Korea,
Note7,20160802,Unveil media Event,
BlueBell,20140313,Listeria in Sampling,
BlueBell,20140323,Recall,
BlueBell,20140327,CEO Apologies,
BlueBell,20140403,Suspend ops in Oaklahoma,
BlueBell,20140407,Recall Expands,
BlueBell,20140420,Recall all products,
BlueBell,20140430,Closes all facilites,
BlueBell,20140514,Agreement Health Department,
BlueBell,20140522,BB asks for suport to shareholders,
BlueBell,20140610,FDA founds more listeria !!!,
BlueBell,20140714,Significant Investment ends crisis,
Toyota,20090101,Seatbelt Recall,
Toyota,20090801,Window switches,
Toyota,20090121,Recall: Pedal+Floor mats !!!,
Toyota,20100121,Recall: Pedal+Floor mats,
Toyota,20100126,Stop sales and production,
Toyota,20100129,Recall: Yaris + Audis,
Toyota,20100205,Apologies,
Toyota,20100209,Recall: Prius UK,
Toyota,20100217,Corolla,
Toyota,20110126,Recall: Avensis + Lexus,
Hoverboard,20160706,RECALL,http://www.businessinsider.com/hoverboards-recalled-out-of-safety-concerns-2016-7
Hoverboard,20161213,RECALL,https://www.cpsc.gov/Recalls/2016/world-trading-recalls-orbit-self-balancing-scooters-and-hoverboards
Hoverboard,20161101,Amazon Demand,https://www.theguardian.com/technology/2016/nov/01/hoverboard-amazon-lawsuit-burn-down-house-tennessee
Whirpool,20160825,Recall Microwave,
